chr	start	end	CredibleSet	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Disease	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene
chr9	17015866	17029203	chr9:15544971-18544971--1	9	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr9:15544971-18544971	17029203	rs2815186	CNTLN
chr6	24217094	24297360	chr6:22775815-32742554-3	34	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr6:22775815-32742554	24275814	rs28993079	DCDC2
chr2	109887569	109913480	chr2:108407736-111407736--1	16	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr2:108407736-111407736	109902929	rs33957668	SH3RF3
chr7	12250377	12285139	chr7:10750378-13750378-1	98	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr7:10750378-13750378	12250377	rs3807866	TMEM106B
chr9	17004246	17044970	chr9:15544971-18544971-1	17	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr9:15544971-18544971	17044970	rs393488	CNTLN
chr5	103947967	104003310	chr5:102481726-105481726-1	7	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr5:102481726-105481726	103981725	rs40465	NUDT12
chr1	72750499	74077587	chr1:71325144-74325144--1	275	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr1:71325144-74325144	73446244	rs4233093	NEGR1
chr10	67627202	69855525	chr10:66907269-69907269--1	209	TRUE	TRUE	FALSE	Depression_GP	191010-SUSIE	chr10:66907269-69907269	69788201	rs545435	HERC4
chr18	51630486	54184895	chr18:51599012-54599012--1	122	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr18:51599012-54599012	52754085	rs55943003	CCDC68
chr10	68397444	68428022	chr10:66907269-69907269-1	119	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr10:66907269-69907269	68407268	rs566631960	CTNNA3
chr11	87373621	90239718	chr11:87248162-90248162--1	28	TRUE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr11:87248162-90248162	89959636	rs578174	CHORDC1
chr11	113317744	113388673	chr11:111874420-114874420-1	37	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr11:111874420-114874420	113374419	rs61902812	DRD2
chr3	116016345	118639103	chr3:116015519-119015519--1	242	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr3:116015519-119015519	117515518	rs66511648	IGSF11
chr1	72748668	72838405	chr1:71325144-74325144-1	26	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr1:71325144-74325144	72825143	rs6699744	NEGR1
chr1	175902595	177428789	chr1:175526983-178526983--1	253	FALSE	TRUE	FALSE	Depression_GP	191010-SUSIE	chr1:175526983-178526983	177026982	rs7548151	ASTN1
chr2	211212189	213726153	chr2:211134108-214134108--1	248	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr2:211134108-214134108	212634107	rs7583068	ERBB4
chr6	24209254	24250973	chr6:22775815-32742554--1	6	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr6:22775815-32742554	24213262	rs9467078	DCDC2
chr18	52837402	52859260	chr18:51599012-54599012-1	18	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr18:51599012-54599012	52855277	rs9952839	TCF4
